date,lon,lat,img,cp,type,NUM,ID
1995-07-16 06:00:00,16.0,141.9,"[[ 22.2  22.2  22.2 ... -41.3 -41.3 -41.3]
 [ 22.2  22.2  22.6 ... -41.3 -41.3 -39.4]
 [ 22.6  22.6  22.6 ... -38.5 -38.5 -40.4]
 ...
 [ 12.5  12.   13.4 ...  22.6  22.6  22.6]
 [ 12.   13.   17.2 ...  22.6  22.6  22.6]
 [ 16.8  18.1  18.6 ...  22.6  22.6  22.6]]",1006.0,IR_ty,3,1
1995-07-16 06:00:00,16.0,141.9,"[[ -7.9  -2.6   1.6 ... -17.5 -14.  -12.2]
 [  0.4   0.7   4.  ...  -8.6 -13.1  -8.5]
 [  4.9   7.8   9.3 ...  -6.7 -11.4  -6.4]
 ...
 [ 13.5  16.3  20.4 ...  18.5  17.7  18.9]
 [ 18.6  17.6  21.  ...  19.2  19.6  20.4]
 [ 23.6  21.5  19.9 ...  19.9  20.2  20.6]]",1006.0,IR_wide,3,1
1995-07-16 06:00:00,16.0,141.9,"[[-29.2 -29.2 -29.2 ... -50.6 -48.9 -48.9]
 [-29.2 -29.2 -29.2 ... -47.4 -48.9 -48.9]
 [-28.3 -28.3 -28.3 ... -47.4 -47.4 -48.9]
 ...
 [-33.9 -33.9 -33.9 ... -30.1 -30.1 -30.1]
 [-33.9 -33.9 -33.9 ... -30.1 -30.1 -30.1]
 [-33.9 -34.9 -33.9 ... -30.1 -30.1 -30.1]]",1006.0,WV_ty,3,1
1995-07-16 06:00:00,16.0,141.9,"[[51.4 51.4 51.4 ...  9.3  7.6  7.6]
 [51.4 51.4 51.9 ...  6.1  7.6  9.5]
 [51.  51.  51.  ...  8.9  8.9  8.6]
 ...
 [46.4 45.9 47.4 ... 52.7 52.7 52.7]
 [45.9 46.9 51.1 ... 52.7 52.7 52.7]
 [50.7 53.1 52.5 ... 52.7 52.7 52.7]]",1006.0,diff_ty,3,1
1995-07-16 12:00:00,16.7,141.7,"[[ 21.8  21.4  21.8 ... -12.2  -4.3  -1.5]
 [ 20.5  21.8  21.8 ... -16.1 -13.5 -11.6]
 [ 21.8  22.3  22.3 ... -26.8 -24.5 -22.3]
 ...
 [ 16.8  18.7  19.1 ...  22.3  22.3  22.7]
 [ 20.5  20.5  20.5 ...  21.8  22.7  22.7]
 [ 20.9  20.9  20.  ...  21.8  21.4  22.3]]",1004.0,IR_ty,3,1
1995-07-16 12:00:00,16.7,141.7,"[[-25.2 -31.2 -32.3 ... -12.7  -9.7  -8.6]
 [-17.4 -20.5 -22.9 ...  -7.8  -5.1  -7.2]
 [-10.7 -15.7 -21.7 ...  -9.3  -9.9  -9.7]
 ...
 [  8.1  -2.5 -13.3 ...  19.   19.5  19.6]
 [ -0.7  -0.7 -10.4 ...  20.   19.8  19.6]
 [ -5.2 -10.8  -2.8 ...  20.1  19.6  19.5]]",1004.0,IR_wide,3,1
1995-07-16 12:00:00,16.7,141.7,"[[-32.  -33.  -32.  ... -38.3 -38.3 -38.3]
 [-33.  -33.  -33.  ... -43.2 -40.7 -40.7]
 [-32.  -32.  -32.  ... -46.  -46.  -47.5]
 ...
 [-31.1 -31.1 -32.  ... -29.3 -29.3 -29.3]
 [-32.  -32.  -32.  ... -29.3 -29.3 -29.3]
 [-32.  -32.  -33.  ... -29.3 -29.3 -29.3]]",1004.0,WV_ty,3,1
1995-07-16 12:00:00,16.7,141.7,"[[53.9 54.4 53.9 ... 26.1 33.9 36.8]
 [53.5 54.8 54.8 ... 27.1 27.2 29.1]
 [53.9 54.3 54.3 ... 19.2 21.5 25.1]
 ...
 [47.9 49.8 51.2 ... 51.6 51.6 52. ]
 [52.5 52.5 52.5 ... 51.1 52.  52. ]
 [53.  53.  53.  ... 51.1 50.7 51.6]]",1004.0,diff_ty,3,1
1995-07-16 18:00:00,17.3,141.4,"[[ 21.3  21.3  21.3 ...   6.4   0.1  -5.6]
 [ 21.3  19.9  21.3 ...  -5.6 -11.  -19.6]
 [ 21.3  20.8  21.3 ...  -9.2 -14.2 -12.3]
 ...
 [ 16.2  11.9  14.8 ...  17.2  20.4  21.3]
 [  3.3  -6.2  -1.  ...  18.5  20.8  21.3]
 [-24.6 -31.6 -25.3 ...  19.9  20.8  21.7]]",1002.0,IR_ty,3,1
1995-07-16 18:00:00,17.3,141.4,"[[ 8.3  8.1  5.1 ...  1.   0.6  0.1]
 [ 8.1  8.3  3.5 ...  0.7  0.5  0.2]
 [ 8.4  8.8  7.3 ...  0.5  0.   0.1]
 ...
 [ 4.2  4.6  3.9 ... 19.  17.6 17.1]
 [-0.  -6.7  9.1 ... 19.3 19.7 19.7]
 [ 5.1  6.7 -7.  ... 20.3 20.2 19.2]]",1002.0,IR_wide,3,1
1995-07-16 18:00:00,17.3,141.4,"[[-30.1 -30.1 -30.1 ... -36.  -37.1 -38.2]
 [-31.  -30.1 -30.1 ... -39.4 -39.4 -39.4]
 [-30.1 -30.1 -31.  ... -38.2 -39.4 -39.4]
 ...
 [-33.9 -38.2 -37.1 ... -30.1 -30.1 -30.1]
 [-40.6 -44.5 -43.1 ... -30.1 -30.1 -30.1]
 [-50.6 -52.3 -50.6 ... -30.1 -30.1 -29.2]]",1002.0,WV_ty,3,1
1995-07-16 18:00:00,17.3,141.4,"[[51.4 51.4 51.4 ... 42.5 37.2 32.6]
 [52.3 50.  51.4 ... 33.8 28.4 19.8]
 [51.4 50.9 52.3 ... 29.1 25.2 27.1]
 ...
 [50.2 50.2 51.9 ... 47.3 50.5 51.4]
 [43.9 38.3 42.1 ... 48.7 50.9 51.4]
 [26.  20.7 25.3 ... 50.  50.9 50.9]]",1002.0,diff_ty,3,1
